# ShortMsgKAT_384.txt
# Algorithm Name: BLAKE
# Principal Submitter: Jean-Philippe Aumasson

Len = 0
Msg = 00
MD = C6CBD89C926AB525C242E6621F2F5FA73AA4AFE3D9E24AED727FAAADD6AF38B620BDB623DD2B4788B1C8086984AF8706

Len = 1
Msg = 00
MD = 1FFDE9711B419D7C97DC142E7704D2AE61163F8A818C47938B978D6113949D8E7819B9699D497A3B289B8BB4415FFAE7

Len = 2
Msg = C0
MD = 195D771C302BB1CA0C9AC55A782CBE877BC0BC28016F735DE68D7CF5FC1D0A99CC69A32CB0174FD2A97D5FCF46AAFDED

Len = 3
Msg = C0
MD = 883B186D9372A04D585EB1EEF1CD32FF8A7C061D5E396F05FD9D3D9D6033DE757BFC3ADF30B06D7FB02A875A2AC0DB70

Len = 4
Msg = 80
MD = 91140C47BA7EF06FE6810ACEF4BE65AD772576291778C6B5588B08FD48BEEAE4E70C3AC4ABB9636A637E9A6359A19053

Len = 5
Msg = 48
MD = F03566B78EAD38D98F787C08F117817702D24D3BC8C663551393A1F2E6A079855434414789B34DD360DF198EB00E67A2

Len = 6
Msg = 50
MD = 68EECA6E6550ECE0662882BD36605EEABEA74230171225B708C1A375C90E4A59FEC2EFF42EBA07441DC1F48D39665BD6

Len = 7
Msg = 98
MD = 70BB604B0893B22E2F4E2FC0E9CFD725648C9FF217DF8EEE219A7A1CAB3039158FF1AE3C8B2106165F00E3DAC9301ADB

Len = 8
Msg = CC
MD = A77E65C0C03ECB831DBCDD50A3C2BCE300D55EAC002A9C197095518D8514C0B578E3ECB7415291F99EDE91D49197DD05

Len = 9
Msg = 9800
MD = FDF53E189982AEAD4849B6FBA84B9E84A7F4C38A580840344E4017819F30901CA333B12954EA811049E023F073A69AE2

Len = 10
Msg = 9D40
MD = 0AFC73AF8A4F8645CFB30CEAB03C256CABF8088D5452C66A766159428DE6050484F39B31CB4EEBBCB2A06A8A7B0E4626

Len = 11
Msg = AA80
MD = 7939C08121BCBDD2D87069A3F8FEEDC3E1EEAA7A140574AFD126441F4ED9E32B783CA02F33BB454AA6D05494D4C9028D

Len = 12
Msg = 9830
MD = A9045405BB39E7F6F89398160208D61F2F4CCBD5C688A6B67AA6EEF78D00EF1EE8C6779B781B8603EAF585D475CD86D5

Len = 13
Msg = 5030
MD = BCBC3CFF50F0BD0F03C9DCBA0296F7BD7A9E111361335CDD8CB47CC02FE6BCFF01D3244C6B7141B77B4CBFC88D6CD320

Len = 14
Msg = 4D24
MD = 9BC5C48E85DE4EA136072A53B31D964668175C378A424AF4503A454637CD55FA091B2E1A005A6F308F18F5F2B90900A3

Len = 15
Msg = CBDE
MD = 4F1EEA4E836E12D8521BCE58831481E80FEC26D40FBEF756E571C9CF1E1072008A2475FBDDA6B1DC6FF09238F2675329

Len = 16
Msg = 41FB
MD = E80A87362C9D39E2074AC135E2514B0CDF0001BFD8C35888D7CA8BBC4E918A157386524D41579E7FCD9C3C9A4F7A991A

Len = 17
Msg = 4FF400
MD = 28A0158D802B4E6CA90DBD9558140DADA402B3FA3F556FC06AB9CD0E645A32EB1793D5BA321E8E6FCBAEF6403BA5D4C3

Len = 18
Msg = FD0440
MD = CF58D202FC28371BCA34F2698569A87D06633777C457312341CE3651259041FEEFD2FCABE1618AD24D4707292A2F2C63

Len = 19
Msg = 424D00
MD = B0F5AB250B2F65CB9A6B200F6BC39BA74DB8A5282FDD9E8D1BF87C733DA89005FAC37F40DCDB9B095A70A018392C3018

Len = 20
Msg = 3FDEE0
MD = FFD7F9BF50DCCA42C961BBC4FFF717AB586E01968D606407EC610AA3D2462987AF054C694474C7B5878DD7AF5124C1DC

Len = 21
Msg = 335768
MD = 1F288D53346F74A9618C47F5A77A9E41AECE4005037E3B6B908F6D0B4D8FAAF148CC18AC1632B3362E1A78369EDFC6F6

Len = 22
Msg = 051E7C
MD = D5DBCB933C5CBA8C1B355B6152A947051A71EA0A9AD295AB308AFA39FDCE8A07E9E0192A187DF0FF9E089718534A7C46

Len = 23
Msg = 717F8C
MD = C6C62993FB330DD106932569300A97AB54837FE5927ADCD0A418FA24E01148D80DE54DDC63DC58705C62BE1EA4B3EE32

Len = 24
Msg = 1F877C
MD = D67CFA1B09C8C050094EA018BB5ECD3CE0C02835325467A8FA79701F0AD6BBD4A34947BBAA2FC5F9379985CCD6A1DC0E

Len = 25
Msg = EB35CF80
MD = DFBA2A0077E56CACB0DF1BE549DFE06C9828E1EEF91B77D83ACC0300C0C67DB0E2594A4BD552C80F4A0D98FAE44A860C

Len = 26
Msg = B406C480
MD = A20846D26C780B03D4D0FE15757D664111AAEDC435AF784AE85E1A1B25CA56C476B86351EDC1AD3825667B86328678D3

Len = 27
Msg = CEE88040
MD = EE885CA24E330D26BDE1B3EA640FD0AF5AB1840697BD12D015FC515D219CDD2C13BB3429F374727EE632A1555FEF1CA3

Len = 28
Msg = C584DB70
MD = 243A3C6AD6FB97298C04200273CBE829C636DAAB73EA7ABAAF1CAFF193E9DC9B7399ED859A46A6DABA98EE9FD810CF00

Len = 29
Msg = 53587BC8
MD = 01C6579DD37E707E33EC4A0A768499F28BE4E80BA4952E645FAA07F09D507DEC9E81AB2CF34C0318A34A0AC4AF621655

Len = 30
Msg = 69A305B0
MD = 081633892D928CD7DEBC78CE70B0A82F8595CF32E1998B0298490B8799B26F76ED428D13CA4DA02E504EFDA5A3379DCA

Len = 31
Msg = C9375ECE
MD = 24A2D2AF040B31FC238ABFB935FB0F699EAF97291B75D5A7EAAF542E19C7E486554C166962943B762F2818172BBCDEE5

Len = 32
Msg = C1ECFDFC
MD = 7A57C41D850B7AB51C6075ABA299FF649FDAF08A4C37088ECE73B21304B1072C21930CC34AC6B0FC5F27B95F4F389B26

Len = 33
Msg = 8D73E8A280
MD = E1480A83839AB8747935690F1922E0F05E8F67239F7DCED9CFD39A1678EE10FEBB4F7580BD803C66EC5584EF102A12DB

Len = 34
Msg = 06F2522080
MD = F386F8BDD36DE67D43AEB976B2D57A9499B3796C1C37E6C7B133BF2545D7EFCD21BE6935425A5DFAA627CEEC834400B6

Len = 35
Msg = 3EF6C36F20
MD = 311C0AAFBB8E6729641D9BB12D0434614F5BE6E0D3D27933E1469B0C662430DE7153B2AAB9C4085758099E6064D2F883

Len = 36
Msg = 0127A1D340
MD = 9933FE64EF4DE19C78695186286831534F30721B82D031B9F938FB19B4C2CAB1D4AC53F63F96A60CF172702F9305854E

Len = 37
Msg = 6A6AB6C210
MD = 094B79964B193BF655F91F76F4D3589EAB2A902587F730EC76251B98D9DE4DB846D81C29DBA5EB20EDE52DB447F429A7

Len = 38
Msg = AF3175E160
MD = E05997F725613D05EC2A3EDAB5B9AF53DE9EEAEF986AD4ED1F83C6C4211BB0B1A6058D8EAED94D52299E2E32225E2545

Len = 39
Msg = B66609ED86
MD = C0B0E332A81821D4DD06A72EF108FAE9060F2C826B3905DB037AD75DB15EFAC9C04D0F284AAE722E407B41F132A75980

Len = 40
Msg = 21F134AC57
MD = 324155F4F5E346BFE0B08E9642BEBE86505795BE186146D30242273EBEBB3D51E076B1105AB647C130E6EFC0B75072A7

Len = 41
