# MonteCarlo_256.txt
# Algorithm Name: JH
# Principal Submitter: Hongjun Wu

Seed = 6CD4C0C5CB2CA2A0F1D1AECEBAC03B52E64EA03D1A1654372936545B92BBC5484A59DB74BB60F9C40CEB1A5AA35A6FAFE80349E14C253A4E8B1D77612DDD81ACE926AE8B0AF6E53176DBFFCC2A6B88C6BD765F939D3D178A9BDE9EF3AA131C61E31C1E42CDFAF4B4DCDE579A37E150EFBEF5555B4C1CB40439D835A724E2FAE7

j = 0
MD = B6F65955C4346EA503AF9CBB43061067DF41528A7D3ED66D280BF4BD812D494F

j = 1
MD = B00A5B535C2939A3642DA04A458E72AD8F478202F75016259678951CBE6348A4

j = 2
MD = 21147BDA81CFAC62F16922B62CA32EFB3458583D25A32C6D266E258A595B544C

j = 3
MD = B3E5956562D360F154919360DBE47236B2BF60BC277113A3D815D9728FAFD210

j = 4
MD = 70306DB5FACFF24B4D38C7D8FB23FDB99909D7EF9B5D57AC55EEF89D0E363901

j = 5
MD = EBE93CA265DFAC7FA9CC3222CE2FA6C62BDF8DA9E86AA60F8C778846D7D1AEF6

j = 6
MD = 9D9EE293DE7210605F471FE8BC7FE093A13C9F088CC6E7EC63D62FCF82876D9F

j = 7
MD = 2763CEEFB71F4EBD5F2221E0C1DE4D23199B1902380CC9E0AE221EB800950AE4

j = 8
MD = 86A2AF9EDEA895D2ADFC75A9C94B55E7A4610E858D6D3BB2ADAC58F467B3547D

j = 9
MD = 0BC94E4D6B4F1BCE25CA9EF7291AAFA4F7B4C9BD03E6BAA7C13FB16AA3BAE5FC

j = 10
MD = 85E7CAD503BB728CADA0061C2ED747B56B4B74AF2161FCD343CBA0D9C4898CF7

j = 11
MD = 3AC1B2E4400F1BD1A1244473B6E3356F75A1FA268C07A6A54619B17E4BED0A02

j = 12
MD = 08E04B1100CDA8EE8D4DA1AB993C5BED6369AAEAF16DE879AB87435DB7D77543

j = 13
MD = A62F2959C299F2674A045C9DC1430A26C0CB2C88AF0E2F970DC8B5432202B585

j = 14
MD = 25FEC23E540B87ABCD64690526EE3F637E1DBD837A1662D3660B2E9C14EE0394

j = 15
MD = CB37A44C3FB6122EC58E3DD94D0E19955F2A60B6A0FCC13D1335DAA61840193B

j = 16
MD = C305F7BDB3C12DA2D53E82156E36426EBEFFDDA7B3AAA2129FA2478E87AF22F4

j = 17
MD = EE525C5CFBB21F024C2EEF067E5E2D4558E8D15BA56F7DF62A111479AAC31F0C

j = 18
MD = F3D60F236E5444115AFC2F3CD0911C2B99297C01320A021C3FCE16B8D0DB10B5

j = 19
MD = BE3CE5842153E6FA2E50AB950800F3C2ABF0B68A22905637C981265910106F19

j = 20
MD = 34BB1CDD0A58A9A87DB961C15277F6A9E639AD55E78F8BA00C7075436A21C1DD

j = 21
MD = 5084BC020911FB77DEA091406D0459939916654EF5CB5DB6E68BEA7A5BABC99C

j = 22
MD = 0FC6CD3EDBE1C7668E3257EBBBA2750E676047754EB6D1E5DE2AF2A7EBDD453F

j = 23
MD = 1B8FB0D6894576D40E7D1AED905D374A687A5FF3796F31E1FA0888345991F7CC

j = 24
MD = 625CEAE610D6AD19A1DD1EF4C98223C69D463C2C4E6726785C7051089AA6BBE0

j = 25
MD = BC62ECCC4B424E1933FBF1AD16AAE72390170D32705EF721D0029B9BA7A23280

j = 26
MD = EED7BFEB7D6BB115A6860AF010463A3E57D66AF096A081EA149F3E134187C8AC

j = 27
MD = 0C30DB53FA0F750DA80B83BBB33BDEF44BE65F1EAA447CF8336841705FFC8A54

j = 28
MD = 7A5CFF04C62F7CD1CBB487A182624CDDBB0533F127FB07924A527D3D467C767A

j = 29
MD = 99C021560F0F77446737673BC972684EE57A58FA8D1922A22272BC4861B31435

j = 30
MD = A021984350CB22D455B48B6C0DC90C5C67EB7CB1758B538D6D931D769C679E08

j = 31
MD = 3295AFE9A5B9C2B057E82E42289693AFF1CC3FE117EDB0F91398C7DB6D65A49F

j = 32
MD = 96446697C89D5B323671FDFE46B44D1BDADF6E06F089CFB7C6C6FFF7237C96F2

j = 33
MD = 7E616C9A6C99BB5B3A4212B9FCD1D8884849839F72D38CACF324C3E45C787BEE

j = 34
MD = 29D9632DB2A4B40F7A17121707CCDBD4925C796023CA42FEF8E537ACF5C3DBB4

j = 35
MD = F28C425C6658FABBEA261844660FE1293F134CA16A7ACA974A594A5E888AEB4B

j = 36
MD = 93A71EA48E1429BB9B09A7B78CF5ED46AD1F4F3DEAF462B0E18179136D994456

j = 37
MD = 8E84AC822AB45D5921B4A82AD6C8EE8D741B03F84942B30C87B84E25AFF7E043

j = 38
MD = DDDFB29BD1CD0C323245DC1F338DA3D02B391A323ED7A7D25808306CC64D3625

j = 39
MD = CF88DB67ACA55CE6F3666698EBE6EF376317BDBD8D9220141D1CEF282F3A3B32

j = 40
MD = 68E665CCFAC62FAB913935071F1C11C367A7E672B38D1CFC5C9F1D192B955934

j = 41
MD = 8B4C5AD979EA5BA59B91F9D744CA8B2E0C6AC5F42EA8CAD56E3DAB635D2B2ABC

j = 42
MD = F27F243DC5AA0C0C22EFFE463CC1CB22A9CA04BB7DF2ACCACD31C23780609917

j = 43
MD = 3388AD64192C4145EB73E3C79A480527AC2E69CBEEF30A008495C4F2310EF20F

j = 44
MD = CF2FCDF59867223648F8F5FB7FC5382869F4D37A560CF5E2DFB05EBBE58EE921

j = 45
MD = 74044844BDA3729D76D05658843F0D66C4E591FC7E9AC2A4E35E1C170BF75592

j = 46
MD = 75233A8A887C2C45417FB3E398E8F0FC4DF36C8872C400770D8CC2698C45E055

j = 47
MD = DFEE2CD4EA5628CBFEA64B2D6CB158AB4975B64C78C5E5ACBF2126445535510C

j = 48
MD = C6C579DCE82E6CB6BF371F454E4BBC3330814759392C31F7B053284D41688C66

j = 49
MD = 90C2B4DA00EE7549F6812AF5D48DB8DDF0F881D5D98ABEDEF1E5367FFE6E7A53

j = 50
MD = ACD3F42718AD7E8EC64E44408E1955BCB8045B2C7930526CBA39A2F49E2C6CEF

j = 51
MD = 46332A90EFB12E398D3CF44045FD5F45F9D6895CF7B274F42E52D112E7E5D131

j = 52
MD = 7ACBF0FB3298CC48EA7583CFCCEF3B8B7D1D47DF8E4747E61118994235824796

j = 53
MD = 071096B6AA0FCC54E3EFC0A8BD4AD6AABB4515105A751222C9446ACF9436A225

j = 54
MD = 05A427E79A5F3487D6622E5C3500871E74E481002C02B5E8AED5B8858B34D912

j = 55
MD = 9A8894A5C3B519F8A8EE226FBF0B06A3644C6E83E3DD1A56765D8549112DECAB

j = 56
MD = 3C1FA7AD648E4E2D2029DD8ED6D8B2E30A0B9D61512068106AE556E9C33A5DD8

j = 57
MD = E7157217A6FF1ED30FDAA86B97A96578CA25C6E18515756333163B2E78E3B3C1

j = 58
MD = 882AF23098314E2E002DE8D2AD6BF1D485D5C73FDF7C1A0E317E76692574A300

j = 59
MD = 693E3582089EE7CAE06CB4661465DA76EB65CAB553A16FC57CC7D541BD451ABD

j = 60
MD = EB3964F8F3006D2662BACF435D94671BF53DBD2AF85870CCA6C784F666908E21

j = 61
