# LongMsgKAT_0.txt
# Algorithm Name: Keccak
# Principal Submitter: The Keccak Team (Guido Bertoni, Joan Daemen, Michaël Peeters and Gilles Van Assche)

Len = 2048
Msg = 724627916C50338643E6996F07877EAFD96BDF01DA7E991D4155B9BE1295EA7D21C9391F4C4A41C75F77E5D27389253393725F1427F57914B273AB862B9E31DABCE506E558720520D33352D119F699E784F9E548FF91BC35CA147042128709820D69A8287EA3257857615EB0321270E94B84F446942765CE882B191FAEE7E1C87E0F0BD4E0CD8A927703524B559B769CA4ECE1F6DBF313FDCF67C572EC4185C1A88E86EC11B6454B371980020F19633B6B95BD280E4FBCB0161E1A82470320CEC6ECFA25AC73D09F1536F286D3F9DACAFB2CD1D0CE72D64D197F5C7520B3CCB2FD74EB72664BA93853EF41EABF52F015DD591500D018DD162815CC993595B195
Squeezed = E8E0AFE48C65C3C179BED171EA5FE1D89D6A6C283027926A9B00B94454BD06433486905321B8F600148259377CEDA377B05197C98780DEA58B38AAA356B2152D487897DD02DC12F31E36B279AC872AE277593DB65505FDF68BC6D1EFC0C5E52CA94189632F5683E76A964357D85A0BF7F701A34E8EAFB3E8FC2CDD1AAA5D1C3C5B8EF165A61B52C3BC044D98A185B8309C13076A5FFA5F893854C0E25C4B66E0B0E34A4F1584BAF56326A2373647A546D13B2792B28604DEDE84F202680048380E23A154FB717C6913DD16D4291CBB3418E8FA9983F22A066C2ECDF7F9E42A8B89CED472BB771C19E340E09B68C677A7F6E96986E95A6FF95C50BA6AF86A6BB10690CDF917F14B6A022693B6FE145A22F3E0F299B8D9AA6F3F2CAD238C3FCA4E199BDF246A779EED47F02142B9DE260A17EBEC75CFFCCB001BB1EC19C546CEBABBA360822B22303A84F5CE6B2BE2495D92FF5E349B5C2B7650891A576C6E0C74D6673412A1D687E952FB7779BF05A1F2755F46DA2F47662482060053FD23C38CFFA2962369B957CEF14A0FD390D1E1E76ECED00A72757669FA6D3F07C9F45B96EA92C1E735ABABAE06AFD88253E07B98C0137F48249F5EDF19EF8BC5D555AF3853A4C3263CAB3E162E68E1945CED11386EF584600588A80C077642C453129E71C2F66C0A409767C9F14326BBA9A2850601D559DB13039A643D56192952B4BD94
Len = 2111
Msg = 919FE5E7F35F64A7487649E564771DBBF10AE204ECC2181312D1A79FB579297C94F0DB9EAAE9E009A4F02057AF2C973C5DAFA7B60154371A5D2C8E992FB6429176F8424B1A866BC1D1BED00438E97FAB42040DCACDEF7CA9FC2033059B8898BB40CCFB2634B051797BDF3B915C503EC81839AD01E0F4F2F871EFF2008D40011730BE7A47888E7955A806876BE120CB0F3A139A3620154ECC6482A70F5629F6A9D3341BE6FBBF48E5AA0C53589A04F057DD44268AFFCABF75ADFC549F73F454264D46A98CCA80E3000C7446853DD5B430C9344E87E3230555B09FB3E7E64B5AD3989293AC0FEEC0E75F909696F028A5525D26DDEA5D2B2C813FB3613DFF38CE23209285CC77C60860
Squeezed = 180D204F97D270D367A1D4E9808146F6D946BD05A87A5809508E2BC3E8848D47C851015F979EE3F07E88E2BF320F84014F9247AF0ED3130664434F47C1FA1ED57AFA6A3D99FD340DC70277EFCC054A9809B6FA36AE61BF43A77474AB743CE98DA5E1572DE2C1462E1D0AB42D614AEE89995C05C3C5A5FEFC1086819891161E7AEA1AC571C31C57757D67CA0C4EC42F405F79BA4472FF3FCB8F009CB19CCB8403437635781ECC31C47FDD99C1C366CF1B4CD2C06DE2F641EC8549D7D278FEE6366260EFDEC476E8A25937EAE2744C6315B0CA042B4BBD8405A7832699B3D105C3A8548D4843933507592551A145E2774D45C79BDB70687E8C78826C68E844EAD7A8D808924EB4A350FF25708648D37A1EB3702B0755955FA00AFEBD6F5825559F474F8F4E83C9D499895C116D3FB0956469AA0000A824705382C290028EB9C806E5041F98D1146C4FB6284A733146979A2FFC397F72E6048C653541054B5A66063D153B6E90157E8CFD791AF8435AD42302931CE258AAC64EA9EAB34EBBD765A63EEF5BE859669640FF3713DBA7676FFFD1A83A5B2871D3BE35C97382AE6AA8243A4397F187F475B1CC56DD6D617B8A798C4F3867ECA5B3D612AEC9B7327CBE58BB1FD27DEC5F55746D06FE05722C6FA520EC5B4800ADE627A1DF74D9D1F24C85A8A0C5B3FE91BD4A3ADA62567863FD3458B028FEB3AE3E08CAE44E080D9A843D
Len = 2174
Msg = BD687B6D6684949FBD52A8196DF5D5927B403DEE88A47E4E4B52071BDDA6A6284A9EA1EB84950BA17A60277B0FEA83C930E5619D5A6D232901B9D3A696662C7FD5F1349B494BC166C67B717C06D03E9FB05DB9EE292D4792F459E0ACC08369E3D14684CFF388C940F30738FB71D97EFEB51C7DB553CB85B6FC18429815EC71420822151BB8F5135DD698EFE3D3118963EE194F94682DFA62EC9D3BCB5F826DA790779704DF2AC5C8A9FA2B50A42A87ED2FBADF1E1C8E55689531786A9858DE9E88009E56873FD2D431FCFC99B85574342DC7E78406678BDE94B9A06974DFF154EAC3BC7977AC7C123EBCDAC0641A69B792058BA373EDD1BA45E3339C2ABC032993B25F4E3BFA3D5FF620C621D94C40F8
Squeezed = 8B00D964275EB2FAE86EF9F8FB3AF8C45DDF0AFEE4BC3693E1467551978CD1B631E6F6FA77FC440F2BE42278FE116FB9E4AB132BB9A1FCC97E9EBCE4101CB7AABE7AA3D944B3305157250ACDB8C381467EA2F192519F957B4AE25713F5A6823C98401C746CD48DBD0B56F6035FBBDDC5C70DC8A05DD27011C50693E659C71D64A16D47A7FD80A6297123ABD88B7BED42168FB87A0919649731F7A23F14958A207F654D926C6294CC9D3422163FC86D32EB5C4F2AAEAB12270A03CE6211334BA40EFAADDF78E37E201B84548FF347AE70A4693716945106F4A0786850289242CA938DE83753696F7FF39540BA939542109F0CAFCCA02826B706CF937D8098424B7161412BF08F212D7D7624B5922AD3C715C1D0BDAB31DE0CA0FB665F1DB764A8AEF6342B99973EECA84C4124DECEDA296EF5AE0D68CF1E611613E01BBB816895C3898F88C4FD07DF9E1A51A0BED7796FBA97FFA8676B95B2561FBBFDF83CCC6A077C2B2292359F0E1F0B7DB3061BDFACA9AA2E5DD011160ECB6347F636592F3C480BF5F33557A7FA8623784FE2F538D2CBE8BD901EDC7BDF82BB4200E7A289169FE5A3226BCDE62C0A98197CF4C5BDBED707C584E264F33C45DC83047E543B73C5CB2681C8FF77D6A132C8B198F44130BA0B784B3A7340931EC8B287A0E319B4CE825ADCE49680C3A623675F7FFFEAE6E90837D02672E8F87CAD2F1E0A8024D5
Len = 2237
